Unitig	Length	Percentage_low_confidence_bases	Telomeric_repeats_start	Telomeric_repeats_end	Average_coverage	Filtered_based_on_coverage	Blast_mitochondrion_sum	Blast_mitochondrion_percent
unitig_0	6256379	0.0	Yes	Yes	77.8611	pass	66	0.0
unitig_1	4044791	0.0	Yes	Yes	76.841	pass	0	0.0
unitig_10	16313	100.0	No	No	4.8926	fail	0	0.0
unitig_100	17669	19.3673	No	No	16.0994	fail	0	0.0
unitig_101	36724	19.3307	No	No	49.7095	fail	0	0.0
unitig_102	17823	100.0	No	No	2.4304	fail	0	0.0
unitig_104	31856	1.7548	No	No	64.0722	pass	0	0.0
unitig_106	25154	22.9029	No	No	11.9388	fail	0	0.0
unitig_107	28265	7.2528	No	No	26.9566	fail	0	0.0
unitig_109	25988	9.8315	No	No	28.7655	fail	0	0.0
unitig_11	8894	100.0	No	No	0.237	fail	0	0.0
unitig_111	21106	17.5353	No	No	8.6212	fail	0	0.0
unitig_112	5285	100.0	No	No	0.092	fail	0	0.0
unitig_113	35836	3.4072	No	No	48.0325	fail	0	0.0
unitig_115	6576	100.0	No	No	0.9967	fail	0	0.0
unitig_12	20359	21.9608	No	No	11.8388	fail	0	0.0
unitig_13	1921807	0.0	No	Yes	76.8116	pass	0	0.0
unitig_14	505999	0.1919	No	Yes	76.5988	pass	0	0.0
unitig_16	1606558	0.0	Yes	Yes	77.054	pass	0	0.0
unitig_17	1415222	0.0	Yes	Yes	76.2201	pass	0	0.0
unitig_18	1167231	0.0	Yes	Yes	74.5835	pass	0	0.0
unitig_19	729442	0.0	Yes	Yes	150.56	pass	0	0.0
unitig_2	3679917	0.0	No	Yes	77.216	pass	0	0.0
unitig_20	904980	0.0	Yes	Yes	75.398	pass	0	0.0
unitig_21	676476	0.0001	Yes	Yes	75.7461	pass	0	0.0
unitig_22	275957	0.1084	No	Yes	71.3726	pass	0	0.0
unitig_23	587962	0.0	Yes	No	73.2911	pass	0	0.0
unitig_24	543608	0.0002	Yes	Yes	77.3371	pass	0	0.0
unitig_25	561060	0.0	Yes	Yes	74.3362	pass	0	0.0
unitig_26	289779	0.0003	Yes	Yes	74.9848	pass	0	0.0
unitig_27	176989	0.0	No	Yes	72.43	pass	0	0.0
unitig_28	42178	28.1782	No	No	21.5851	fail	0	0.0
unitig_29	34547	4.6082	No	No	55.0648	fail	0	0.0
unitig_3	3058434	0.0	No	Yes	77.9374	pass	0	0.0
unitig_30	19412	6.1508	No	No	9.8037	fail	0	0.0
unitig_31	22441	100.0	No	No	0.3094	fail	0	0.0
unitig_32	29590	22.6529	No	No	578.9677	fail	29589	100.0
unitig_33	18530	13.4862	No	No	22.8458	fail	0	0.0
unitig_34	14568	20.1744	No	No	26.1913	fail	0	0.0
unitig_35	36331	0.5615	No	No	1103.1117	fail	36329	99.99
unitig_36	6990	100.0	No	No	1.4923	fail	0	0.0
unitig_37	23929	0.514	No	No	57.972	pass	23878	99.79
unitig_38	26970	0.2781	No	No	40.8428	fail	26966	99.99
unitig_39	577	100.0	No	No	0.9948	fail	576	99.83
unitig_4	2827486	0.0	Yes	No	78.3643	pass	0	0.0
unitig_5	2254466	0.0	No	Yes	76.7777	pass	0	0.0
unitig_6	2356248	0.0	No	Yes	75.9988	pass	0	0.0
unitig_7	2454671	0.0	Yes	Yes	77.9472	pass	0	0.0
unitig_70	919221	0.1536	Yes	No	75.2998	pass	0	0.0
unitig_72	40568	9.9857	No	No	61.1196	pass	0	0.0
unitig_74	36418	17.7165	No	No	22.5998	fail	0	0.0
unitig_75	1793459	0.43	No	Yes	77.0099	pass	0	0.0
unitig_77	65352	0.0918	No	No	1631.8448	fail	65349	100.0
unitig_78	18802	23.455	No	No	20.0505	fail	18800	99.99
unitig_80	50595	1.7927	No	No	1744.0226	fail	50593	100.0
unitig_81	31859	9.1152	No	No	39.1255	fail	31857	99.99
unitig_82	28100	13.0071	No	No	28.2037	fail	0	0.0
unitig_83	76040	5.1841	No	No	121.0767	pass	0	0.0
unitig_84	34595	7.1282	No	No	57.2821	pass	0	0.0
unitig_85	18347	15.1687	No	No	26.1566	fail	0	0.0
unitig_86	8798	100.0	No	No	4.1432	fail	0	0.0
unitig_87	21524	0.9338	No	No	44.095	fail	0	0.0
unitig_88	22700	35.7577	No	No	44.8639	fail	0	0.0
unitig_9	17975	63.5994	No	No	4.8184	fail	0	0.0
unitig_90	31505	5.7705	No	No	50.9632	fail	0	0.0
unitig_91	2602	100.0	No	No	0.3319	fail	0	0.0
unitig_92	25497	9.0207	No	No	35.9052	fail	0	0.0
unitig_94	30547	36.6779	No	No	5.7542	fail	0	0.0
unitig_96	25854	30.8888	No	No	71.9993	pass	0	0.0
unitig_97	17126	23.5548	No	No	22.9823	fail	0	0.0
unitig_98	18727	100.0	No	No	0.923	fail	0	0.0
unitig_99	31578	5.9377	No	No	51.9014	fail	0	0.0
